date,transactions
2020-05-05T00:00:00Z,3
2020-05-06T00:00:00Z,5
2020-05-07T00:00:00Z,2
2020-05-08T00:00:00Z,8
2020-05-09T00:00:00Z,0
2020-05-10T00:00:00Z,0
2020-05-11T00:00:00Z,3
2020-05-12T00:00:00Z,12
2020-05-13T00:00:00Z,12
2020-05-14T00:00:00Z,39
2020-05-15T00:00:00Z,43
2020-05-16T00:00:00Z,13
2020-05-17T00:00:00Z,10
2020-05-18T00:00:00Z,1122
2020-05-19T00:00:00Z,5832
2020-05-20T00:00:00Z,5315
2020-05-21T00:00:00Z,3859
2020-05-22T00:00:00Z,5032
2020-05-23T00:00:00Z,5503
2020-05-24T00:00:00Z,4943
2020-05-25T00:00:00Z,5115
2020-05-26T00:00:00Z,7666
2020-05-27T00:00:00Z,5546
2020-05-28T00:00:00Z,5029
2020-05-29T00:00:00Z,5730
2020-05-30T00:00:00Z,5129
2020-05-31T00:00:00Z,8182
2020-06-01T00:00:00Z,7998
2020-06-02T00:00:00Z,7968
2020-06-03T00:00:00Z,11341
2020-06-04T00:00:00Z,9601
2020-06-05T00:00:00Z,9335
2020-06-06T00:00:00Z,10484
2020-06-07T00:00:00Z,11740
2020-06-08T00:00:00Z,12886
2020-06-09T00:00:00Z,12780
2020-06-10T00:00:00Z,12045
2020-06-11T00:00:00Z,11672
2020-06-12T00:00:00Z,12396
2020-06-13T00:00:00Z,11232
2020-06-14T00:00:00Z,10085
2020-06-15T00:00:00Z,11923
2020-06-16T00:00:00Z,14974
2020-06-17T00:00:00Z,13286
2020-06-18T00:00:00Z,16444
2020-06-19T00:00:00Z,18546
2020-06-20T00:00:00Z,18272
2020-06-21T00:00:00Z,25698
2020-06-22T00:00:00Z,25718
2020-06-23T00:00:00Z,23156
2020-06-24T00:00:00Z,26297
2020-06-25T00:00:00Z,23465
2020-06-26T00:00:00Z,26287
2020-06-27T00:00:00Z,25244
2020-06-28T00:00:00Z,25938
2020-06-29T00:00:00Z,25882
2020-06-30T00:00:00Z,21812
2020-07-01T00:00:00Z,26544
2020-07-02T00:00:00Z,29475
2020-07-03T00:00:00Z,34939
2020-07-04T00:00:00Z,34965
2020-07-05T00:00:00Z,34294
2020-07-06T00:00:00Z,32740
2020-07-07T00:00:00Z,32721
2020-07-08T00:00:00Z,34819
